iter	Logloss
0	0.6866008073
1	0.6800819661
2	0.6738757388
3	0.6677940998
4	0.6618905223
5	0.6561729666
6	0.6502108066
7	0.6446122961
8	0.639093272
9	0.6337238866
10	0.6283913405
11	0.6233354305
12	0.6185155667
13	0.6136117526
14	0.6087264849
15	0.6040198467
16	0.5995243819
17	0.5952719534
18	0.5907288106
19	0.5865009178
20	0.5824604218
21	0.5783423202
22	0.5743888149
23	0.5707220287
24	0.5669147037
25	0.5632693925
26	0.5595268717
27	0.556010842
28	0.5525494139
29	0.5491972509
30	0.5459642893
31	0.5425542094
32	0.5396373678
33	0.5366960733
34	0.5337597998
35	0.5308310682
36	0.5279860437
37	0.5253505392
38	0.5226756311
39	0.5201359883
40	0.5176609525
41	0.5152722606
42	0.5129793151
43	0.5106876282
44	0.5084976397
45	0.5063167893
46	0.5042244533
47	0.5021120931
48	0.5000520111
49	0.4980878381
50	0.4960519698
51	0.4940693505
52	0.4922481327
53	0.4904678988
54	0.488503918
55	0.4868047716
56	0.4849791396
57	0.4833232612
58	0.4816639391
59	0.479965988
60	0.4782958664
61	0.4765766931
62	0.4750014839
63	0.4735361815
64	0.4720225362
65	0.470556153
66	0.4691241835
67	0.4675715551
68	0.4662600874
69	0.4649686151
70	0.4637501492
71	0.4625019889
72	0.4613568673
73	0.4600911914
74	0.4589729698
75	0.457862503
76	0.4568170591
77	0.4557947769
78	0.4545380206
79	0.4535424484
80	0.4525183716
81	0.4515212973
82	0.4506095632
83	0.4495865959
84	0.4487154933
85	0.4478257464
86	0.446958616
87	0.4461061987
88	0.4451928613
89	0.4443961149
90	0.4435845828
91	0.4427709479
92	0.4419946117
93	0.4412529578
94	0.4404369813
95	0.4395602575
96	0.4386707921
97	0.4378805567
98	0.4371345621
99	0.4364298921
100	0.4356809049
101	0.4350101185
102	0.4343681099
103	0.4338035705
104	0.433192564
105	0.4325512215
106	0.4318659405
107	0.4312598997
108	0.4306780782
109	0.430117422
110	0.4296357406
111	0.4291644738
112	0.4287033022
113	0.4281254895
114	0.4275532792
115	0.4270228016
116	0.4265279223
117	0.4261163495
118	0.4256781844
119	0.4252413048
120	0.4248560409
121	0.424425857
122	0.423960955
123	0.4235088191
124	0.4231565285
125	0.4227320847
126	0.422329007
127	0.4219061661
128	0.4214722568
129	0.4211573887
130	0.420830261
131	0.4205287566
132	0.4200819009
133	0.419793656
134	0.4194105576
135	0.4191175092
136	0.4187207019
137	0.4183634465
138	0.4181020964
139	0.4177993497
140	0.417408535
141	0.4171367977
142	0.4168416391
143	0.4165825681
144	0.4163106104
145	0.4160899047
146	0.4158533586
147	0.4156418787
148	0.4153851638
149	0.4151581349
150	0.4149267745
151	0.4146593668
152	0.4144012256
153	0.4142101966
154	0.4140288287
155	0.4138079372
156	0.4134858773
157	0.4132439416
158	0.4130381659
159	0.4128058977
160	0.4125826263
161	0.412414889
162	0.4121949306
163	0.4119417605
164	0.4117843864
165	0.4115532315
166	0.4114121195
167	0.4111790076
168	0.4110025448
169	0.4108350164
170	0.4106409513
171	0.4103874468
172	0.4101776022
173	0.4100589029
174	0.4098454636
175	0.4096952977
176	0.4095841687
177	0.4094174742
178	0.4092414355
179	0.40907774
180	0.4089490178
181	0.40880767
182	0.4086272912
183	0.4084688449
184	0.4083597812
185	0.4082113007
186	0.4081047039
187	0.4079539354
188	0.4078147066
189	0.4077041541
190	0.4075801428
191	0.4074277277
192	0.4073272637
193	0.4071938363
194	0.4070502126
195	0.4069349874
196	0.4068552493
197	0.4066931455
198	0.4065736841
199	0.4064581626
200	0.4063849592
201	0.4063009493
202	0.4062279646
203	0.4060939359
204	0.4060109077
205	0.405952137
206	0.4058404342
207	0.4057153734
208	0.4056159472
209	0.4054952461
210	0.4054426391
211	0.4052964785
212	0.4052026054
213	0.4051533778
214	0.4050502858
215	0.4049797638
216	0.4048875111
217	0.4048423754
218	0.4047741072
219	0.4047031726
220	0.40462901
221	0.4045503381
222	0.4045098027
223	0.4044359084
224	0.4043819069
225	0.4043224477
226	0.4042837226
227	0.4042411428
228	0.4041913226
229	0.4040724424
230	0.4039842298
231	0.4038815534
232	0.403778154
233	0.4036840208
234	0.4036031997
235	0.4035240885
236	0.4034764169
237	0.4033750762
238	0.4033361123
239	0.4033024957
240	0.4032268541
241	0.4031571967
242	0.4031262413
243	0.4030427292
244	0.4030070922
245	0.4029826295
246	0.4029339151
247	0.4029031783
248	0.4028227491
249	0.4027815203
250	0.4027553039
251	0.4027219715
252	0.4026491867
253	0.4025893143
254	0.4025274417
255	0.4024632055
256	0.4023952964
257	0.4023709606
258	0.4023464582
259	0.4022678842
260	0.4022357406
261	0.4022048366
262	0.4021822635
263	0.4021168305
264	0.4020572396
265	0.4020013034
266	0.4019398639
267	0.4018891089
268	0.4018387923
269	0.401800281
270	0.4017609774
271	0.401707902
272	0.4016722059
273	0.4016172011
274	0.4015914405
275	0.4015749329
276	0.4015181717
277	0.4014701391
278	0.4014296985
