iter	Passed	Remaining
0	26	2669
1	52	2590
2	80	2598
3	110	2644
4	137	2613
5	162	2543
6	189	2513
7	214	2464
8	241	2440
9	266	2397
10	293	2376
11	320	2350
12	343	2301
13	371	2284
14	396	2246
15	423	2221
16	448	2188
17	475	2167
18	503	2146
19	527	2111
20	555	2088
21	580	2056
22	608	2036
23	636	2016
24	660	1982
25	688	1958
26	713	1928
27	739	1901
28	763	1870
29	790	1844
30	814	1813
31	841	1788
32	867	1761
33	892	1731
34	919	1708
35	943	1678
36	970	1652
37	994	1623
38	1022	1598
39	1046	1570
40	1075	1548
41	1102	1522
42	1127	1494
43	1154	1469
44	1180	1442
45	1207	1417
46	1233	1391
47	1258	1363
48	1285	1338
49	1309	1309
50	1338	1285
51	1365	1260
52	1389	1232
53	1416	1206
54	1441	1179
55	1467	1153
56	1492	1125
57	1518	1099
58	1539	1069
59	1567	1044
60	1592	1017
61	1618	991
62	1657	973
63	1684	947
64	1704	917
65	1732	892
66	1757	865
67	1784	839
68	1809	812
69	1835	786
70	1863	761
71	1887	733
72	1913	707
73	1938	680
74	1965	655
75	1991	628
76	2018	602
77	2045	576
78	2070	550
79	2098	524
80	2122	497
81	2149	471
82	2173	445
83	2200	419
84	2228	393
85	2253	366
86	2279	340
87	2305	314
88	2331	288
89	2356	261
90	2383	235
91	2409	209
92	2434	183
93	2461	157
94	2485	130
95	2511	104
96	2536	78
97	2563	52
98	2587	26
99	2614	0
